word,ict,not ict,total number,percentage of ict
а,11925,52356,64281,0.19
ад,1079,54,1133,0.95
ах,2386,3711,6097,0.39
без,7422,13472,20894,0.36
блеск,2003,174,2177,0.92
бог,4907,1265,6172,0.8
бой,1812,77,1889,0.96
боль,1555,102,1657,0.94
брат,1971,298,2269,0.87
бред,965,48,1013,0.95
будь,1973,1098,3071,0.64
бы,5107,14339,19446,0.26
был,12984,9706,22690,0.57
быть,8525,5351,13876,0.61
бьет,1072,193,1265,0.85
вам,4327,4005,8332,0.52
вас,6056,2380,8436,0.72
ваш,885,1303,2188,0.4
вдоль,911,1168,2079,0.44
вдруг,7374,3156,10530,0.7
ведь,1050,5014,6064,0.17
век,3750,334,4084,0.92
весть,1002,79,1081,0.93
весь,3577,4465,8042,0.44
взгляд,2362,132,2494,0.95
вздох,1006,62,1068,0.94
взор,4545,284,4829,0.94
взял,798,207,1005,0.79
вид,1848,147,1995,0.93
вкруг,1096,664,1760,0.62
власть,1426,100,1526,0.93
вниз,1277,152,1429,0.89
вновь,5046,843,5889,0.86
во,1575,16904,18479,0.09
вод,1849,36,1885,0.98
волн,1227,34,1261,0.97
вон,832,583,1415,0.59
вот,12700,10005,22705,0.56
враг,1368,149,1517,0.9
все,24144,18122,42266,0.57
всей,1833,813,2646,0.69
всем,5101,1393,6494,0.79
всех,9229,2298,11527,0.8
вслед,1203,176,1379,0.87
встал,880,148,1028,0.86
всю,1247,3078,4325,0.29
вся,2870,2463,5333,0.54
всё,12064,9250,21314,0.57
вы,7351,8691,16042,0.46
где,9571,23838,33409,0.29
глаз,4515,201,4716,0.96
глас,1640,167,1807,0.91
год,2612,220,2832,0.92
гор,1953,87,2040,0.96
гость,936,100,1036,0.9
град,969,82,1051,0.92
грех,1041,73,1114,0.93
гроб,1434,75,1509,0.95
гром,1949,144,2093,0.93
грудь,4419,269,4688,0.94
грусть,1087,67,1154,0.94
гул,1309,105,1414,0.93
да,5782,15741,21523,0.27
дай,1575,1240,2815,0.56
дал,1208,414,1622,0.74
даль,1808,165,1973,0.92
дар,1723,163,1886,0.91
дать,845,191,1036,0.82
два,2359,2578,4937,0.48
две,1241,1425,2666,0.47
дверь,1592,219,1811,0.88
двух,1377,628,2005,0.69
дел,1057,45,1102,0.96
день,10714,1400,12114,0.88
для,7637,12575,20212,0.38
дна,1126,15,1141,0.99
дне,1005,17,1022,0.98
дней,4191,183,4374,0.96
днем,1564,141,1705,0.92
дни,5095,672,5767,0.88
дня,3117,138,3255,0.96
до,6518,12532,19050,0.34
дождь,1945,257,2202,0.88
