,POS_ms,left_syll,syll_onset,syll_type,right_onset,left_neigh,ict,word
0,A,closed,closed,closed,closed,False,False,1253
1,A,closed,closed,closed,closed,False,True,2545
2,A,closed,closed,closed,closed,True,False,67
3,A,closed,closed,closed,closed,True,True,1687
4,A,closed,closed,closed,nan,False,False,24
5,A,closed,closed,closed,nan,False,True,1129
6,A,closed,closed,closed,nan,True,False,5
7,A,closed,closed,closed,nan,True,True,584
8,A,closed,closed,closed,open,False,False,153
9,A,closed,closed,closed,open,False,True,1115
10,A,closed,closed,closed,open,True,False,19
11,A,closed,closed,closed,open,True,True,967
12,A,closed,closed,open,closed,False,False,2
13,A,closed,closed,open,closed,False,True,22
14,A,closed,closed,open,closed,True,False,3
15,A,closed,closed,open,closed,True,True,10
16,A,closed,closed,open,nan,False,True,10
17,A,closed,closed,open,nan,True,False,1
18,A,closed,closed,open,nan,True,True,4
19,A,closed,closed,open,open,False,True,5
20,A,closed,closed,open,open,True,True,4
21,A,closed,open,closed,closed,False,False,11
22,A,closed,open,closed,closed,False,True,36
23,A,closed,open,closed,closed,True,False,11
24,A,closed,open,closed,closed,True,True,34
25,A,closed,open,closed,nan,False,True,14
26,A,closed,open,closed,nan,True,True,7
27,A,closed,open,closed,open,False,False,1
28,A,closed,open,closed,open,False,True,21
29,A,closed,open,closed,open,True,False,2
30,A,closed,open,closed,open,True,True,16
31,A,nan,closed,closed,closed,False,False,350
32,A,nan,closed,closed,closed,False,True,516
33,A,nan,closed,closed,nan,False,True,25
34,A,nan,closed,closed,open,False,False,108
35,A,nan,closed,closed,open,False,True,305
36,A,nan,closed,open,closed,False,False,4
37,A,nan,closed,open,closed,False,True,17
38,A,nan,closed,open,open,False,False,1
39,A,nan,closed,open,open,False,True,2
40,A,nan,open,closed,closed,False,False,5
41,A,nan,open,closed,closed,False,True,12
42,A,nan,open,closed,open,False,True,7
43,A,open,closed,closed,closed,False,False,106
44,A,open,closed,closed,closed,False,True,1310
45,A,open,closed,closed,closed,True,False,81
46,A,open,closed,closed,closed,True,True,4015
47,A,open,closed,closed,nan,False,False,22
48,A,open,closed,closed,nan,False,True,760
49,A,open,closed,closed,nan,True,False,19
50,A,open,closed,closed,nan,True,True,1778
51,A,open,closed,closed,open,False,False,19
52,A,open,closed,closed,open,False,True,533
53,A,open,closed,closed,open,True,False,18
54,A,open,closed,closed,open,True,True,1620
55,A,open,closed,open,closed,False,True,15
56,A,open,closed,open,closed,True,False,3
57,A,open,closed,open,closed,True,True,39
58,A,open,closed,open,nan,False,True,8
59,A,open,closed,open,nan,True,True,16
60,A,open,closed,open,open,False,True,8
61,A,open,closed,open,open,True,True,10
62,A,open,open,closed,closed,False,False,3
63,A,open,open,closed,closed,False,True,33
64,A,open,open,closed,closed,True,False,10
65,A,open,open,closed,closed,True,True,43
66,A,open,open,closed,nan,False,False,1
67,A,open,open,closed,nan,False,True,18
68,A,open,open,closed,nan,True,False,2
69,A,open,open,closed,nan,True,True,25
70,A,open,open,closed,open,False,False,1
71,A,open,open,closed,open,False,True,16
72,A,open,open,closed,open,True,False,1
73,A,open,open,closed,open,True,True,18
74,ADV,closed,closed,closed,closed,False,False,1111
75,ADV,closed,closed,closed,closed,False,True,4951
76,ADV,closed,closed,closed,closed,True,False,619
77,ADV,closed,closed,closed,closed,True,True,3078
78,ADV,closed,closed,closed,nan,False,False,31
79,ADV,closed,closed,closed,nan,False,True,1855
80,ADV,closed,closed,closed,nan,True,False,17
81,ADV,closed,closed,closed,nan,True,True,738
82,ADV,closed,closed,closed,open,False,False,119
83,ADV,closed,closed,closed,open,False,True,1114
84,ADV,closed,closed,closed,open,True,False,84
85,ADV,closed,closed,closed,open,True,True,740
86,ADV,closed,closed,open,closed,False,False,690
87,ADV,closed,closed,open,closed,False,True,885
88,ADV,closed,closed,open,closed,True,False,529
89,ADV,closed,closed,open,closed,True,True,643
90,ADV,closed,closed,open,nan,False,False,2
91,ADV,closed,closed,open,nan,False,True,74
92,ADV,closed,closed,open,nan,True,True,26
93,ADV,closed,closed,open,open,False,False,56
94,ADV,closed,closed,open,open,False,True,227
95,ADV,closed,closed,open,open,True,False,56
96,ADV,closed,closed,open,open,True,True,149
97,ADV,closed,open,closed,closed,False,False,175
98,ADV,closed,open,closed,closed,False,True,74
99,ADV,closed,open,closed,closed,True,False,159
100,ADV,closed,open,closed,closed,True,True,26
101,ADV,closed,open,closed,nan,True,False,1
102,ADV,closed,open,closed,open,False,False,25
103,ADV,closed,open,closed,open,False,True,7
104,ADV,closed,open,closed,open,True,False,17
105,ADV,closed,open,closed,open,True,True,2
106,ADV,nan,closed,closed,closed,False,False,4449
107,ADV,nan,closed,closed,closed,False,True,2737
108,ADV,nan,closed,closed,nan,False,False,1
109,ADV,nan,closed,closed,nan,False,True,75
110,ADV,nan,closed,closed,open,False,False,816
111,ADV,nan,closed,closed,open,False,True,746
112,ADV,nan,closed,open,closed,False,False,1826
113,ADV,nan,closed,open,closed,False,True,620
114,ADV,nan,closed,open,open,False,False,205
115,ADV,nan,closed,open,open,False,True,122
116,ADV,nan,open,closed,closed,False,False,113
117,ADV,nan,open,closed,closed,False,True,15
118,ADV,nan,open,closed,open,False,False,14
119,ADV,nan,open,closed,open,False,True,2
120,ADV,open,closed,closed,closed,False,False,1069
121,ADV,open,closed,closed,closed,False,True,6017
122,ADV,open,closed,closed,closed,True,False,379
123,ADV,open,closed,closed,closed,True,True,7139
124,ADV,open,closed,closed,nan,False,False,91
125,ADV,open,closed,closed,nan,False,True,2049
126,ADV,open,closed,closed,nan,True,False,18
127,ADV,open,closed,closed,nan,True,True,1160
128,ADV,open,closed,closed,open,False,False,115
129,ADV,open,closed,closed,open,False,True,1290
130,ADV,open,closed,closed,open,True,False,48
131,ADV,open,closed,closed,open,True,True,2045
132,ADV,open,closed,open,closed,False,False,767
133,ADV,open,closed,open,closed,False,True,984
134,ADV,open,closed,open,closed,True,False,343
135,ADV,open,closed,open,closed,True,True,2101
136,ADV,open,closed,open,nan,False,False,1
137,ADV,open,closed,open,nan,False,True,61
138,ADV,open,closed,open,nan,True,False,2
139,ADV,open,closed,open,nan,True,True,117
140,ADV,open,closed,open,open,False,False,63
141,ADV,open,closed,open,open,False,True,243
142,ADV,open,closed,open,open,True,False,30
143,ADV,open,closed,open,open,True,True,401
144,ADV,open,open,closed,closed,False,False,175
145,ADV,open,open,closed,closed,False,True,68
146,ADV,open,open,closed,closed,True,False,57
147,ADV,open,open,closed,closed,True,True,16
148,ADV,open,open,closed,nan,False,False,7
149,ADV,open,open,closed,nan,False,True,4
150,ADV,open,open,closed,open,False,False,29
151,ADV,open,open,closed,open,False,True,4
152,ADV,open,open,closed,open,True,False,4
153,ADV,open,open,closed,open,True,True,2
154,ADVPRO,closed,closed,closed,closed,False,False,6089
155,ADVPRO,closed,closed,closed,closed,False,True,4930
